REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2017,40,1.27018,1.27892,3841,2492,X,4558,1073,873,12837,2219,1003736
National,X,2017,41,1.30844,1.33068,4117,2687,X,4460,1077,950,13291,2246,998809
National,X,2017,42,1.34526,1.40893,4411,2821,X,5006,1143,976,14357,2266,1019002
National,X,2017,43,1.52233,1.57206,5008,2925,X,5532,1326,1054,15845,2264,1007914
National,X,2017,44,1.75088,1.70189,5217,3302,X,6133,1367,1062,17081,2221,1003649
National,X,2017,45,1.89129,1.85744,6100,3589,X,6648,1519,1116,18972,2280,1021407
National,X,2017,46,2.061,2.06268,6855,4220,X,7549,1791,1367,21782,2290,1056004
National,X,2017,47,2.28739,2.32342,6915,3815,X,5863,1692,1427,19712,2265,848406
National,X,2017,48,2.28502,2.24008,6987,5228,X,7425,2209,1829,23678,2267,1057018
National,X,2017,49,2.5914,2.48226,7198,5015,X,8431,2319,1844,24807,2259,999373
National,X,2017,50,3.37277,3.19721,8274,6659,X,11230,2954,2325,31442,2252,983419
National,X,2017,51,4.7622,4.42195,10394,9798,X,14052,4566,3709,42519,2189,961544
National,X,2017,52,5.71645,5.43315,11296,11443,X,11467,5715,5044,44965,2112,827605
National,X,2018,1,5.77125,5.35605,9367,13374,X,11669,6867,5875,47152,2217,880350
National,X,2018,2,5.95289,5.53706,10034,15390,X,17311,7781,6091,56607,2230,1022330
National,X,2018,3,6.53165,6.33805,11918,16006,X,21668,7586,5568,62746,2262,989989
National,X,2018,4,7.18284,7.03171,13264,18291,X,30263,8894,6063,76775,2248,1091839
